date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:48	94/94	---MCZ	200	added ('OK')	text/plain	etag:W/%2260dcb620-4f%22	https://www.alstoneindia.in/robots.txt		(from )
15:23:02	6126/6126	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:52:56%20GMT	https://www.alstoneindia.in/	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/index.html	(from )
15:23:07	2601/2601	---M--	200	added ('OK')	image/png	etag:%2260dce040-a29%22	https://www.alstoneindia.in/public/front/images/fav.png	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/images/fav.png	(from https://www.alstoneindia.in/)
15:23:10	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/HP/OneDrive/Desktop/infinia/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://www.alstoneindia.in/)
15:23:13	26053/26053	---MCZ	200	added ('OK')	text/css	etag:W/%2260dce19a-65c5%22	https://www.alstoneindia.in/public/front/css/aos.css	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/css/aos.css	(from https://www.alstoneindia.in/)
15:23:13	147491/147491	---MCZ	200	added ('OK')	text/css	etag:W/%2265a90a3e-24023%22	https://www.alstoneindia.in/public/front/css/style.css	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/css/style.css	(from https://www.alstoneindia.in/)
15:23:14	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1762a%22	https://code.jquery.com/jquery-latest.min.js	C:/Users/HP/OneDrive/Desktop/infinia/code.jquery.com/jquery-latest.min.js	(from https://www.alstoneindia.in/)
15:23:15	66994/66994	---MCZ	200	added ('OK')	application/javascript	etag:W/%2260dce19c-105b2%22	https://www.alstoneindia.in/public/front/js/snap.svg-min.js	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/js/snap.svg-min.js	(from https://www.alstoneindia.in/)
15:23:17	140200/140200	---M-Z	200	added ('OK')	text/html	date:Fri,%2009%20Feb%202024%2009:53:16%20GMT	https://www.alstoneindia.in/home	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/home.html	(from https://www.alstoneindia.in/)
15:23:17	2160/2160	---M--	200	added ('OK')	image/png	etag:%22612389d2-870%22	https://www.alstoneindia.in/public/front/images/logo.png	C:/Users/HP/OneDrive/Desktop/infinia/www.alstoneindia.in/public/front/images/logo.png	(from https://www.alstoneindia.in/)
